HJD,HJD_Error,Note,BJD,Cycle_obs,Cycle_cal,O-C,OC_Error
2453703.712200 ,0.000200 ,Warren2006PASP,2453703.712967 ,8329.981970 ,8330.000000 ,-0.002518 ,0.000200 
2453703.851900 ,0.000200 ,Warren2006PASP,2453703.852667 ,8330.982419 ,8331.000000 ,-0.002455 ,0.000200 
2453704.689300 ,0.000200 ,Warren2006PASP,2453704.690067 ,8336.979382 ,8337.000000 ,-0.002879 ,0.000200 
2453704.829600 ,0.000200 ,Warren2006PASP,2453704.830367 ,8337.984128 ,8338.000000 ,-0.002216 ,0.000200 
2453705.667100 ,0.000200 ,Warren2006PASP,2453705.667867 ,8343.981808 ,8344.000000 ,-0.002540 ,0.000200 
2453705.806700 ,0.000200 ,Warren2006PASP,2453705.807467 ,8344.981540 ,8345.000000 ,-0.002578 ,0.000200 
2453725.634600 ,0.000200 ,Warren2006PASP,2453725.635367 ,8486.977232 ,8487.000000 ,-0.003179 ,0.000200 
2453726.612800 ,0.000200 ,Warren2006PASP,2453726.613567 ,8493.982522 ,8494.000000 ,-0.002441 ,0.000200 
2453726.752300 ,0.000200 ,Warren2006PASP,2453726.753067 ,8494.981538 ,8495.000000 ,-0.002578 ,0.000200 
2453728.707500 ,0.000200 ,Warren2006PASP,2453728.708267 ,8508.983524 ,8509.000000 ,-0.002301 ,0.000200 
2452540.532100 ,0.000200 ,Rodrguez-Gil2007,2452540.532831 ,-0.025896 ,0.000000 ,-0.003616 ,0.000200 
2452989.327400 ,0.000200 ,Rodrguez-Gil2007,2452989.328150 ,3213.980585 ,3214.000000 ,-0.002711 ,0.000200 
2452990.304200 ,0.000200 ,Rodrguez-Gil2007,2452990.304950 ,3220.975848 ,3221.000000 ,-0.003372 ,0.000200 
2452999.381600 ,0.000200 ,Rodrguez-Gil2007,2452999.382350 ,3285.982818 ,3286.000000 ,-0.002399 ,0.000200 
2454061.463400 ,0.000200 ,Rodrguez-Gil2007,2454061.464178 ,10891.984458 ,10892.000000 ,-0.002170 ,0.000200 
2454081.292100 ,0.000200 ,Rodrguez-Gil2007,2454081.292877 ,11033.985879 ,11034.000000 ,-0.001972 ,0.000200 
2454086.458400 ,0.000200 ,Rodrguez-Gil2007,2454086.459177 ,11070.983864 ,11071.000000 ,-0.002253 ,0.000200 
2455064.479064 ,0.000213 ,AAVSO,2455064.479826 ,18074.989369 ,18075.000000 ,-0.001484 ,0.000213 
2455106.370225 ,0.000079 ,AAVSO,2455106.370985 ,18374.989086 ,18375.000000 ,-0.001524 ,0.000079 
2455188.477667 ,0.000032 ,AAVSO,2455188.478425 ,18962.994020 ,18963.000000 ,-0.000835 ,0.000032 
2455191.270021 ,0.000066 ,AAVSO,2455191.270779 ,18982.991207 ,18983.000000 ,-0.001228 ,0.000066 
2455460.490994 ,0.000035 ,AAVSO,2455460.491745 ,20910.992574 ,20911.000000 ,-0.001037 ,0.000035 
2455533.382163 ,0.000040 ,AAVSO,2455533.382912 ,21432.996012 ,21433.000000 ,-0.000557 ,0.000040 
2455827.458609 ,0.000034 ,AAVSO,2455827.459356 ,23538.997575 ,23539.000000 ,-0.000339 ,0.000034 
2455835.417958 ,0.000040 ,AAVSO,2455835.418705 ,23595.997725 ,23596.000000 ,-0.000318 ,0.000040 
2455836.395116 ,0.000065 ,AAVSO,2455836.395863 ,23602.995552 ,23603.000000 ,-0.000621 ,0.000065 
