HJD,HJD_Error,Note,BJD,Cycle_obs,Cycle_cal,O-C,OC_Error
2458785.676012 ,0.000081 ,TESS,2458785.676820 ,44724.000857 ,44724.000000 ,0.000120 ,0.000081 
2458785.815806 ,0.000234 ,TESS,2458785.816614 ,44725.001979 ,44725.000000 ,0.000276 ,0.000234 
2458785.955165 ,0.000150 ,TESS,2458785.955973 ,44725.999986 ,44726.000000 ,-0.000002 ,0.000150 
2458786.094601 ,0.000268 ,TESS,2458786.095409 ,44726.998544 ,44727.000000 ,-0.000203 ,0.000268 
2458786.234835 ,0.000422 ,TESS,2458786.235643 ,44728.002817 ,44728.000000 ,0.000393 ,0.000422 
2458786.374274 ,0.000207 ,TESS,2458786.375082 ,44729.001396 ,44729.000000 ,0.000195 ,0.000207 
2458786.514118 ,0.000136 ,TESS,2458786.514926 ,44730.002876 ,44730.000000 ,0.000402 ,0.000136 
2458786.653678 ,0.000083 ,TESS,2458786.654486 ,44731.002322 ,44731.000000 ,0.000324 ,0.000083 
2459853.482562 ,0.000250 ,TESS,2459853.483324 ,52370.999770 ,52371.000000 ,-0.000032 ,0.000250 
2459853.621992 ,0.000173 ,TESS,2459853.622754 ,52371.998285 ,52372.000000 ,-0.000239 ,0.000173 
2459853.761388 ,0.000204 ,TESS,2459853.762150 ,52372.996557 ,52373.000000 ,-0.000481 ,0.000204 
2459853.901359 ,0.000157 ,TESS,2459853.902121 ,52373.998947 ,52374.000000 ,-0.000147 ,0.000157 
2459854.041437 ,0.000273 ,TESS,2459854.042199 ,52375.002102 ,52375.000000 ,0.000294 ,0.000273 
2459854.180584 ,0.000157 ,TESS,2459854.181346 ,52375.998591 ,52376.000000 ,-0.000197 ,0.000157 
2459854.320251 ,0.000425 ,TESS,2459854.321013 ,52376.998803 ,52377.000000 ,-0.000167 ,0.000425 
2459854.459543 ,0.000216 ,TESS,2459854.460305 ,52377.996330 ,52378.000000 ,-0.000512 ,0.000216 
2459854.599089 ,0.000472 ,TESS,2459854.599851 ,52378.995676 ,52379.000000 ,-0.000604 ,0.000472 
2459854.738781 ,0.000266 ,TESS,2459854.739543 ,52379.996068 ,52380.000000 ,-0.000549 ,0.000266 
2459854.878588 ,0.000203 ,TESS,2459854.879350 ,52380.997283 ,52381.000000 ,-0.000379 ,0.000203 
2459855.017713 ,0.000284 ,TESS,2459855.018475 ,52381.993614 ,52382.000000 ,-0.000892 ,0.000284 
2459855.158328 ,0.000682 ,TESS,2459855.159090 ,52383.000615 ,52383.000000 ,0.000086 ,0.000682 
2459855.297346 ,0.000121 ,TESS,2459855.298108 ,52383.996180 ,52384.000000 ,-0.000533 ,0.000121 
2459855.437103 ,0.000230 ,TESS,2459855.437865 ,52384.997037 ,52385.000000 ,-0.000414 ,0.000230 
2459855.576466 ,0.000268 ,TESS,2459855.577228 ,52385.995072 ,52386.000000 ,-0.000688 ,0.000268 
2459855.716552 ,0.000138 ,TESS,2459855.717314 ,52386.998285 ,52387.000000 ,-0.000239 ,0.000138 
2459855.855522 ,0.000198 ,TESS,2459855.856284 ,52387.993506 ,52388.000000 ,-0.000907 ,0.000198 
2459855.995890 ,0.000194 ,TESS,2459855.996652 ,52388.998739 ,52389.000000 ,-0.000176 ,0.000194 
2459856.134912 ,0.000394 ,TESS,2459856.135674 ,52389.994332 ,52390.000000 ,-0.000791 ,0.000394 
2459856.274636 ,0.000243 ,TESS,2459856.275398 ,52390.994953 ,52391.000000 ,-0.000705 ,0.000243 
2459856.414137 ,0.000199 ,TESS,2459856.414899 ,52391.993976 ,52392.000000 ,-0.000841 ,0.000199 
2459856.554085 ,0.000278 ,TESS,2459856.554847 ,52392.996201 ,52393.000000 ,-0.000530 ,0.000278 
2459856.694080 ,0.000109 ,TESS,2459856.694842 ,52393.998762 ,52394.000000 ,-0.000173 ,0.000109 
2459856.832550 ,0.000604 ,TESS,2459856.833312 ,52394.990403 ,52395.000000 ,-0.001340 ,0.000604 
2459856.973343 ,0.000211 ,TESS,2459856.974105 ,52395.998679 ,52396.000000 ,-0.000184 ,0.000211 
2459857.112256 ,0.000195 ,TESS,2459857.113018 ,52396.993492 ,52397.000000 ,-0.000909 ,0.000195 
2459857.251754 ,0.000313 ,TESS,2459857.252516 ,52397.992494 ,52398.000000 ,-0.001048 ,0.000313 
2459857.392175 ,0.000191 ,TESS,2459857.392937 ,52398.998106 ,52399.000000 ,-0.000264 ,0.000191 
2459857.531754 ,0.000167 ,TESS,2459857.532516 ,52399.997688 ,52400.000000 ,-0.000323 ,0.000167 
2459857.671407 ,0.000325 ,TESS,2459857.672169 ,52400.997800 ,52401.000000 ,-0.000307 ,0.000325 
2459857.811046 ,0.000237 ,TESS,2459857.811808 ,52401.997812 ,52402.000000 ,-0.000305 ,0.000237 
2459857.950111 ,0.000475 ,TESS,2459857.950873 ,52402.993714 ,52403.000000 ,-0.000878 ,0.000475 
2459858.090974 ,0.000323 ,TESS,2459858.091736 ,52404.002491 ,52404.000000 ,0.000348 ,0.000323 
2459858.230544 ,0.000172 ,TESS,2459858.231306 ,52405.002009 ,52405.000000 ,0.000281 ,0.000172 
2459858.368642 ,0.000315 ,TESS,2459858.369404 ,52405.990985 ,52406.000000 ,-0.001259 ,0.000315 
2459858.509533 ,0.000299 ,TESS,2459858.510295 ,52406.999963 ,52407.000000 ,-0.000005 ,0.000299 
2459858.648940 ,0.000192 ,TESS,2459858.649702 ,52407.998314 ,52408.000000 ,-0.000235 ,0.000192 
2459858.787643 ,0.000279 ,TESS,2459858.788405 ,52408.991622 ,52409.000000 ,-0.001170 ,0.000279 
2459858.928700 ,0.000198 ,TESS,2459858.929462 ,52410.001789 ,52410.000000 ,0.000250 ,0.000198 
2459859.067453 ,0.000251 ,TESS,2459859.068215 ,52410.995456 ,52411.000000 ,-0.000634 ,0.000251 
2459859.206718 ,0.000248 ,TESS,2459859.207480 ,52411.992790 ,52412.000000 ,-0.001007 ,0.000248 
2459859.347116 ,0.000279 ,TESS,2459859.347878 ,52412.998237 ,52413.000000 ,-0.000246 ,0.000279 
2459859.486641 ,0.000493 ,TESS,2459859.487403 ,52413.997433 ,52414.000000 ,-0.000359 ,0.000493 
2459859.626045 ,0.000176 ,TESS,2459859.626807 ,52414.995762 ,52415.000000 ,-0.000592 ,0.000176 
2459859.765336 ,0.000415 ,TESS,2459859.766098 ,52415.993281 ,52416.000000 ,-0.000938 ,0.000415 
2459859.905996 ,0.000287 ,TESS,2459859.906758 ,52417.000605 ,52417.000000 ,0.000084 ,0.000287 
2459860.044760 ,0.000105 ,TESS,2459860.045522 ,52417.994351 ,52418.000000 ,-0.000789 ,0.000105 
2459860.184968 ,0.000153 ,TESS,2459860.185730 ,52418.998438 ,52419.000000 ,-0.000218 ,0.000153 
2459860.323836 ,0.000230 ,TESS,2459860.324598 ,52419.992928 ,52420.000000 ,-0.000988 ,0.000230 
2459860.464132 ,0.000306 ,TESS,2459860.464894 ,52420.997645 ,52421.000000 ,-0.000329 ,0.000306 
2459860.882949 ,0.000231 ,TESS,2459860.883711 ,52423.996965 ,52424.000000 ,-0.000424 ,0.000231 
2459861.022819 ,0.000129 ,TESS,2459861.023581 ,52424.998631 ,52425.000000 ,-0.000191 ,0.000129 
2459861.161614 ,0.000203 ,TESS,2459861.162376 ,52425.992599 ,52426.000000 ,-0.001034 ,0.000203 
2459861.301610 ,0.000255 ,TESS,2459861.302372 ,52426.995167 ,52427.000000 ,-0.000675 ,0.000255 
2459861.441682 ,0.000463 ,TESS,2459861.442444 ,52427.998280 ,52428.000000 ,-0.000240 ,0.000463 
2459861.580429 ,0.000246 ,TESS,2459861.581191 ,52428.991904 ,52429.000000 ,-0.001131 ,0.000246 
2459861.721270 ,0.000497 ,TESS,2459861.722032 ,52430.000524 ,52430.000000 ,0.000073 ,0.000497 
2459861.860836 ,0.000304 ,TESS,2459861.861598 ,52431.000013 ,52431.000000 ,0.000002 ,0.000304 
2459862.000155 ,0.000186 ,TESS,2459862.000917 ,52431.997733 ,52432.000000 ,-0.000317 ,0.000186 
2459862.139116 ,0.000264 ,TESS,2459862.139878 ,52432.992890 ,52433.000000 ,-0.000993 ,0.000264 
2459862.279450 ,0.000260 ,TESS,2459862.280212 ,52433.997879 ,52434.000000 ,-0.000296 ,0.000260 
2459862.418933 ,0.000269 ,TESS,2459862.419695 ,52434.996773 ,52435.000000 ,-0.000451 ,0.000269 
2459862.558404 ,0.000203 ,TESS,2459862.559166 ,52435.995582 ,52436.000000 ,-0.000617 ,0.000203 
2459862.698571 ,0.000154 ,TESS,2459862.699333 ,52436.999375 ,52437.000000 ,-0.000087 ,0.000154 
2459862.837134 ,0.000139 ,TESS,2459862.837896 ,52437.991682 ,52438.000000 ,-0.001162 ,0.000139 
2459862.977587 ,0.000243 ,TESS,2459862.978349 ,52438.997523 ,52439.000000 ,-0.000346 ,0.000243 
2459863.117036 ,0.000210 ,TESS,2459863.117798 ,52439.996174 ,52440.000000 ,-0.000534 ,0.000210 
2459863.256508 ,0.000277 ,TESS,2459863.257270 ,52440.994990 ,52441.000000 ,-0.000700 ,0.000277 
2459866.468723 ,0.000310 ,TESS,2459866.469485 ,52463.998974 ,52464.000000 ,-0.000143 ,0.000310 
2459866.608383 ,0.000304 ,TESS,2459866.609145 ,52464.999136 ,52465.000000 ,-0.000121 ,0.000304 
2459866.748482 ,0.000309 ,TESS,2459866.749244 ,52466.002443 ,52466.000000 ,0.000341 ,0.000309 
2459866.887294 ,0.000374 ,TESS,2459866.888056 ,52466.996532 ,52467.000000 ,-0.000484 ,0.000374 
2459867.027154 ,0.000383 ,TESS,2459867.027916 ,52467.998127 ,52468.000000 ,-0.000262 ,0.000383 
2459867.165975 ,0.000232 ,TESS,2459867.166737 ,52468.992280 ,52469.000000 ,-0.001078 ,0.000232 
2459867.586060 ,0.000249 ,TESS,2459867.586822 ,52472.000681 ,52472.000000 ,0.000095 ,0.000249 
2459867.725102 ,0.000202 ,TESS,2459867.725864 ,52472.996417 ,52473.000000 ,-0.000500 ,0.000202 
2459867.864011 ,0.000208 ,TESS,2459867.864773 ,52473.991201 ,52474.000000 ,-0.001229 ,0.000208 
2459868.004710 ,0.000144 ,TESS,2459868.005472 ,52474.998804 ,52475.000000 ,-0.000167 ,0.000144 
2459868.144156 ,0.000214 ,TESS,2459868.144918 ,52475.997434 ,52476.000000 ,-0.000358 ,0.000214 
2459868.283573 ,0.000230 ,TESS,2459868.284335 ,52476.995856 ,52477.000000 ,-0.000579 ,0.000230 
2459868.422434 ,0.000201 ,TESS,2459868.423196 ,52477.990297 ,52478.000000 ,-0.001355 ,0.000201 
2459868.562707 ,0.000201 ,TESS,2459868.563469 ,52478.994849 ,52479.000000 ,-0.000719 ,0.000201 
2459868.702711 ,0.000260 ,TESS,2459868.703473 ,52479.997475 ,52480.000000 ,-0.000353 ,0.000260 
2459868.842327 ,0.000410 ,TESS,2459868.843088 ,52480.997322 ,52481.000000 ,-0.000374 ,0.000410 
2459868.981785 ,0.000225 ,TESS,2459868.982546 ,52481.996038 ,52482.000000 ,-0.000553 ,0.000225 
2459869.121250 ,0.000217 ,TESS,2459869.122011 ,52482.994803 ,52483.000000 ,-0.000726 ,0.000217 
2459869.260431 ,0.000257 ,TESS,2459869.261192 ,52483.991535 ,52484.000000 ,-0.001182 ,0.000257 
2459869.400269 ,0.000221 ,TESS,2459869.401030 ,52484.992973 ,52485.000000 ,-0.000981 ,0.000221 
2459869.540763 ,0.000118 ,TESS,2459869.541524 ,52485.999107 ,52486.000000 ,-0.000125 ,0.000118 
2459869.679646 ,0.000278 ,TESS,2459869.680407 ,52486.993705 ,52487.000000 ,-0.000879 ,0.000278 
2459869.819582 ,0.000174 ,TESS,2459869.820343 ,52487.995844 ,52488.000000 ,-0.000580 ,0.000174 
2459869.959393 ,0.000237 ,TESS,2459869.960154 ,52488.997088 ,52489.000000 ,-0.000407 ,0.000237 
2459870.098386 ,0.000580 ,TESS,2459870.099147 ,52489.992474 ,52490.000000 ,-0.001051 ,0.000580 
2459870.238115 ,0.000382 ,TESS,2459870.238876 ,52490.993130 ,52491.000000 ,-0.000959 ,0.000382 
2459870.378211 ,0.000200 ,TESS,2459870.378972 ,52491.996415 ,52492.000000 ,-0.000501 ,0.000200 
2459870.517585 ,0.000206 ,TESS,2459870.518346 ,52492.994529 ,52493.000000 ,-0.000764 ,0.000206 
2459870.657684 ,0.000366 ,TESS,2459870.658445 ,52493.997835 ,52494.000000 ,-0.000302 ,0.000366 
2459870.797090 ,0.000373 ,TESS,2459870.797851 ,52494.996178 ,52495.000000 ,-0.000534 ,0.000373 
2459870.936390 ,0.000217 ,TESS,2459870.937151 ,52495.993763 ,52496.000000 ,-0.000871 ,0.000217 
2459871.076568 ,0.000152 ,TESS,2459871.077329 ,52496.997634 ,52497.000000 ,-0.000330 ,0.000152 
2459871.215795 ,0.000169 ,TESS,2459871.216556 ,52497.994696 ,52498.000000 ,-0.000741 ,0.000169 
2459871.355862 ,0.000093 ,TESS,2459871.356623 ,52498.997773 ,52499.000000 ,-0.000311 ,0.000093 
2459871.495827 ,0.000181 ,TESS,2459871.496588 ,52500.000119 ,52500.000000 ,0.000017 ,0.000181 
2459871.634838 ,0.000226 ,TESS,2459871.635599 ,52500.995634 ,52501.000000 ,-0.000610 ,0.000226 
2459871.774997 ,0.000290 ,TESS,2459871.775758 ,52501.999370 ,52502.000000 ,-0.000088 ,0.000290 
2459871.915098 ,0.000338 ,TESS,2459871.915859 ,52503.002690 ,52503.000000 ,0.000376 ,0.000338 
2459872.054136 ,0.000245 ,TESS,2459872.054897 ,52503.998398 ,52504.000000 ,-0.000224 ,0.000245 
2459872.193951 ,0.000237 ,TESS,2459872.194712 ,52504.999671 ,52505.000000 ,-0.000046 ,0.000237 
2459872.333674 ,0.000199 ,TESS,2459872.334435 ,52506.000284 ,52506.000000 ,0.000040 ,0.000199 
2459872.472781 ,0.000267 ,TESS,2459872.473542 ,52506.996486 ,52507.000000 ,-0.000491 ,0.000267 
2459872.612774 ,0.000217 ,TESS,2459872.613535 ,52507.999033 ,52508.000000 ,-0.000135 ,0.000217 
2459872.751846 ,0.000223 ,TESS,2459872.752607 ,52508.994985 ,52509.000000 ,-0.000700 ,0.000223 
2459872.891702 ,0.000229 ,TESS,2459872.892463 ,52509.996551 ,52510.000000 ,-0.000482 ,0.000229 
2459873.031596 ,0.000327 ,TESS,2459873.032357 ,52510.998389 ,52511.000000 ,-0.000225 ,0.000327 
2459873.171168 ,0.000210 ,TESS,2459873.171929 ,52511.997921 ,52512.000000 ,-0.000290 ,0.000210 
2459873.311275 ,0.000238 ,TESS,2459873.312036 ,52513.001284 ,52513.000000 ,0.000179 ,0.000238 
2459873.589405 ,0.000259 ,TESS,2459873.590166 ,52514.993087 ,52515.000000 ,-0.000965 ,0.000259 
2459873.729338 ,0.000112 ,TESS,2459873.730099 ,52515.995204 ,52516.000000 ,-0.000670 ,0.000112 
2459873.869052 ,0.000184 ,TESS,2459873.869813 ,52516.995753 ,52517.000000 ,-0.000593 ,0.000184 
2459874.008958 ,0.000254 ,TESS,2459874.009719 ,52517.997677 ,52518.000000 ,-0.000324 ,0.000254 
2459874.148498 ,0.000218 ,TESS,2459874.149259 ,52518.996980 ,52519.000000 ,-0.000422 ,0.000218 
2459874.288287 ,0.000269 ,TESS,2459874.289048 ,52519.998066 ,52520.000000 ,-0.000270 ,0.000269 
2459874.427792 ,0.000200 ,TESS,2459874.428553 ,52520.997119 ,52521.000000 ,-0.000402 ,0.000200 
2459874.567444 ,0.000269 ,TESS,2459874.568205 ,52521.997224 ,52522.000000 ,-0.000388 ,0.000269 
2459874.846550 ,0.000107 ,TESS,2459874.847311 ,52523.996016 ,52524.000000 ,-0.000556 ,0.000107 
2459874.986175 ,0.000299 ,TESS,2459874.986936 ,52524.995927 ,52525.000000 ,-0.000569 ,0.000299 
2459875.125102 ,0.001148 ,TESS,2459875.125863 ,52525.990840 ,52526.000000 ,-0.001279 ,0.001148 
2459875.265517 ,0.000474 ,TESS,2459875.266278 ,52526.996409 ,52527.000000 ,-0.000501 ,0.000474 
2459875.404898 ,0.000165 ,TESS,2459875.405659 ,52527.994574 ,52528.000000 ,-0.000758 ,0.000165 
2459875.544973 ,0.000165 ,TESS,2459875.545734 ,52528.997708 ,52529.000000 ,-0.000320 ,0.000165 
2459875.684759 ,0.000208 ,TESS,2459875.685520 ,52529.998773 ,52530.000000 ,-0.000171 ,0.000208 
2459875.824779 ,0.000429 ,TESS,2459875.825540 ,52531.001513 ,52531.000000 ,0.000211 ,0.000429 
2459875.963690 ,0.000426 ,TESS,2459875.964451 ,52531.996312 ,52532.000000 ,-0.000515 ,0.000426 
2459876.103621 ,0.000273 ,TESS,2459876.104382 ,52532.998415 ,52533.000000 ,-0.000221 ,0.000273 
2459876.242104 ,0.000135 ,TESS,2459876.242865 ,52533.990148 ,52534.000000 ,-0.001376 ,0.000135 
2459876.383424 ,0.000130 ,TESS,2459876.384185 ,52535.002198 ,52535.000000 ,0.000307 ,0.000130 
2459876.522482 ,0.000318 ,TESS,2459876.523243 ,52535.998049 ,52536.000000 ,-0.000272 ,0.000318 
2459876.662156 ,0.000342 ,TESS,2459876.662917 ,52536.998312 ,52537.000000 ,-0.000236 ,0.000342 
2459876.801412 ,0.000330 ,TESS,2459876.802173 ,52537.995581 ,52538.000000 ,-0.000617 ,0.000330 
2459876.942164 ,0.000211 ,TESS,2459876.942925 ,52539.003564 ,52539.000000 ,0.000498 ,0.000211 
2459877.081113 ,0.000161 ,TESS,2459877.081874 ,52539.998634 ,52540.000000 ,-0.000191 ,0.000161 
2459877.220093 ,0.000246 ,TESS,2459877.220854 ,52540.993927 ,52541.000000 ,-0.000848 ,0.000246 
2459877.360308 ,0.000421 ,TESS,2459877.361069 ,52541.998064 ,52542.000000 ,-0.000270 ,0.000421 
2459877.500320 ,0.000283 ,TESS,2459877.501081 ,52543.000747 ,52543.000000 ,0.000104 ,0.000283 
2459877.639287 ,0.000192 ,TESS,2459877.640048 ,52543.995946 ,52544.000000 ,-0.000566 ,0.000192 
2459877.778178 ,0.000287 ,TESS,2459877.778939 ,52544.990601 ,52545.000000 ,-0.001312 ,0.000287 
2459877.918500 ,0.000103 ,TESS,2459877.919261 ,52545.995504 ,52546.000000 ,-0.000628 ,0.000103 
2459878.057501 ,0.000166 ,TESS,2459878.058262 ,52546.990947 ,52547.000000 ,-0.001264 ,0.000166 
2459878.197931 ,0.000519 ,TESS,2459878.198692 ,52547.996624 ,52548.000000 ,-0.000471 ,0.000519 
2459878.337623 ,0.000182 ,TESS,2459878.338384 ,52548.997016 ,52549.000000 ,-0.000417 ,0.000182 
2459878.476484 ,0.000266 ,TESS,2459878.477245 ,52549.991456 ,52550.000000 ,-0.001193 ,0.000266 
2459878.616390 ,0.000250 ,TESS,2459878.617151 ,52550.993380 ,52551.000000 ,-0.000924 ,0.000250 
2459878.757022 ,0.000270 ,TESS,2459878.757783 ,52552.000503 ,52552.000000 ,0.000070 ,0.000270 
2459878.895867 ,0.000221 ,TESS,2459878.896628 ,52552.994829 ,52553.000000 ,-0.000722 ,0.000221 
2459879.035464 ,0.000199 ,TESS,2459879.036225 ,52553.994540 ,52554.000000 ,-0.000762 ,0.000199 
2459879.175407 ,0.000393 ,TESS,2459879.176168 ,52554.996729 ,52555.000000 ,-0.000457 ,0.000393 
2459879.315405 ,0.000205 ,TESS,2459879.316166 ,52555.999312 ,52556.000000 ,-0.000096 ,0.000205 
2459879.454252 ,0.000232 ,TESS,2459879.455013 ,52556.993652 ,52557.000000 ,-0.000886 ,0.000232 
2459879.594081 ,0.000172 ,TESS,2459879.594842 ,52557.995025 ,52558.000000 ,-0.000695 ,0.000172 
2459879.734414 ,0.000357 ,TESS,2459879.735175 ,52559.000006 ,52559.000000 ,0.000001 ,0.000357 
2459879.873497 ,0.000219 ,TESS,2459879.874258 ,52559.996037 ,52560.000000 ,-0.000553 ,0.000219 
2459880.013412 ,0.000266 ,TESS,2459880.014173 ,52560.998025 ,52561.000000 ,-0.000276 ,0.000266 
2459880.153552 ,0.000631 ,TESS,2459880.154313 ,52562.001625 ,52562.000000 ,0.000227 ,0.000631 
2459880.292658 ,0.000539 ,TESS,2459880.293419 ,52562.997820 ,52563.000000 ,-0.000304 ,0.000539 
2459880.432467 ,0.000224 ,TESS,2459880.433228 ,52563.999049 ,52564.000000 ,-0.000133 ,0.000224 
2459880.572164 ,0.000279 ,TESS,2459880.572925 ,52564.999476 ,52565.000000 ,-0.000073 ,0.000279 
2459880.711572 ,0.000244 ,TESS,2459880.712333 ,52565.997834 ,52566.000000 ,-0.000302 ,0.000244 
2459880.850634 ,0.000165 ,TESS,2459880.851395 ,52566.993714 ,52567.000000 ,-0.000878 ,0.000165 
2459880.991592 ,0.000433 ,TESS,2459880.992353 ,52568.003172 ,52568.000000 ,0.000443 ,0.000433 
2459881.129757 ,0.000566 ,TESS,2459881.130518 ,52568.992628 ,52569.000000 ,-0.001029 ,0.000566 
2459881.269887 ,0.000463 ,TESS,2459881.270648 ,52569.996156 ,52570.000000 ,-0.000537 ,0.000463 
2459881.409078 ,0.000278 ,TESS,2459881.409839 ,52570.992959 ,52571.000000 ,-0.000983 ,0.000278 
2459881.548962 ,0.000253 ,TESS,2459881.549723 ,52571.994726 ,52572.000000 ,-0.000736 ,0.000253 
2459881.688138 ,0.000173 ,TESS,2459881.688899 ,52572.991422 ,52573.000000 ,-0.001198 ,0.000173 
2459881.828048 ,0.000105 ,TESS,2459881.828809 ,52573.993375 ,52574.000000 ,-0.000925 ,0.000105 
2459881.968725 ,0.000188 ,TESS,2459881.969486 ,52575.000820 ,52575.000000 ,0.000115 ,0.000188 
2459882.107951 ,0.000129 ,TESS,2459882.108712 ,52575.997875 ,52576.000000 ,-0.000297 ,0.000129 
